اسم الورقة المالية	الرمز	الكود الدولي	رابط الاخبار
 الخدمات الملاحية والبترولية - ماريديف	MOIL	EGS44012C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS44012C010 
 الاسكندرية لتداول الحاويات والبضائع	ALCN	EGS42111C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS42111C012 
 المصرية للاتصالات	ETEL	EGS48031C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS48031C016 
 A.T.LEASEالتوفيق للتأجير التمويلي - اية.تي.ليس	ATLC	EGS676N1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS676N1C015 
 إعمار مصر للتنمية	EMFD	EGS673Y1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS673Y1C015 
 مصر لإنتاج الأسمدة - موبكو	MFPC	EGS39061C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS39061C014 
 المطورون العرب القابضة	ARAB	EGS694A1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS694A1C018 
 البنك التجاري الدولي - مصر (سى اى بى)	COMI	EGS60121C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60121C018 
 مصرف أبو ظبي الأسلامي- مصر	ADIB	EGS60111C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60111C019 
 البنك المصري الخليجي	EGBE	EGS60182C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60182C010 
 اكرم مصر للشدات والسقالات المعدنية	ACRO	EGS3E071C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3E071C013 
 جراند انفستمنت القابضة للاستثمارات المالية	GRCA	EGS69261C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS69261C013 
 الوادى العالمية للاستثمار والتنمية	ELWA	EGS70GV1C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70GV1C016 
 مرسى مرسى علم للتنمية السياحية	MMAT	EGS70P91C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70P91C010 
 القلعة للاستثمارات المالية	CCAP	EGS73541C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS73541C012 
 العبوات الطبية	MEPA	EGS3C4L1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C4L1C015 
 اوراسكوم للاستثمار القابضه	OIH	EGS693V1C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS693V1C014 
 جولدن كوست السخنة للاستثمار السياحى	GOCO	EGS70GV1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70GV1C015 
 سبأ الدولية للأدوية والصناعات الكيماوية	SIPC	EGS382M1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS382M1C011 
 EGX 30 INDEX ETF-وثائق استثمار شركة صناديق المؤشرات	EGX30ETF	EGS69491M015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS69491M015 
 عبور لاند للصناعات الغذائية	OLFI	EGS30GV1C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30GV1C012 
 شركة مستشفي كليوباترا	CLHO	EGS729J1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS729J1C018 
 كونتكت المالية القابضة	CNFN	EGS738I1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS738I1C018 
 بنك القاهرة	BQDC	EGS600K1C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS600K1C019 
 الشركة العربية لادارة وتطوير الأصول	ACAMD	EGS72GV1C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS72GV1C016 
 ماكرو جروب للمستحضرات الطبية-ماكرو كابيتال	MCRO	EGS7D971C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS7D971C011 
 الحديد والصلب للمناجم والمحاجر	ISMQ	EGS102S1C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS102S1C014 
 ابن سينا فارما	ISPH	EGS512S1C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS512S1C012 
 العاشر من رمضان للصناعات الدوائية والمستحضرات تشخيصية-راميدا	RMDA	EGS381B1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS381B1C015 
 فوري لتكنولوجيا البنوك والمدفوعات الالكترونية	FWRY	EGS745L1C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS745L1C014 
 سبيد ميديكال	SPMD	EGS73BR1C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS73BR1C013 
 وثائق صندوق استثمار أودن للاستثمار في الاسهم المصرية -كسب	KASABF	EGS696Z1C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS696Z1C017 
 وثائق شركة صندوق استثمار المصريين للاستثمار العقارى	EGREF	EGS694B1C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS694B1C017 
 Taaleem Management Services تعليم لخدمات الإدارة	TALM	EGS597R1C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS597R1C017 
 اي فاينانس للاستثمارات المالية والرقمية	EFIH	EGS743O1C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS743O1C013 
 نهر الخير للتنمية والاستثمار الزراعى والخدمات البيئية	KRDI	EGS02291C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS02291C010 
 بايونيرز بروبرتيز للتنمية العمرانية	PRDC	EGS21FW1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS21FW1C015 
 جدوية للتنمية الصناعية	GDWA	EGS3GV11C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3GV11C012
